%time,field.header.seq,field.header.stamp,field.header.frame_id,field.spi1_miss,field.spi2_miss,field.uart_miss,field.objects0.slot,field.objects0.code,field.objects0.adc1,field.objects0.adc2,field.objects0.adc3,field.objects0.adc4,field.objects0.adc5,field.objects0.adc6,field.objects0.adc7,field.objects0.adc8,field.objects0.adc9,field.objects0.adc10,field.objects0.adc11,field.objects0.adc12,field.objects0.adc13,field.objects0.adc14,field.objects0.adc15,field.objects0.adc16
1448859423693053473,9937,1448859423692660903,,0,0,0,11,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859423708040335,9938,1448859423707638938,,0,0,0,9,1048575,0,0,0,0,0,0,0,0,600,580,584,0,0,0,0,0
1448859423723049830,9939,1448859423722649115,,0,0,0,8,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859423739043466,9940,1448859423738566621,,0,0,0,7,1048575,0,0,0,0,0,0,0,0,594,575,578,0,0,0,0,0
1448859423753947006,9941,1448859423753578858,,0,0,0,6,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859423768912429,9942,1448859423768528371,,0,0,0,5,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859423783953844,9943,1448859423783563162,,0,0,0,3,1048575,0,0,0,0,0,0,0,0,597,578,580,0,0,0,0,0
1448859423798905200,9944,1448859423798515821,,0,0,0,2,1048575,0,0,0,0,0,0,0,0,594,575,578,0,0,0,0,0
1448859423813930901,9945,1448859423813525676,,0,0,0,1,1048575,0,0,0,0,0,0,0,0,599,578,582,0,0,0,0,0
1448859423828909205,9946,1448859423828522201,,0,0,0,0,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859423843922192,9947,1448859423843519353,,0,0,0,48,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859423858861839,9948,1448859423858469606,,0,0,0,47,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859423873901358,9949,1448859423873501715,,0,0,0,46,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859423888845238,9950,1448859423888446059,,0,0,0,45,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859423903870058,9951,1448859423903481290,,0,0,0,43,1048575,0,0,0,0,0,0,0,0,596,577,580,0,0,0,0,0
1448859423918817840,9952,1448859423918439856,,0,0,0,42,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859423933855808,9953,1448859423933461434,,0,0,0,41,1048575,0,0,0,0,0,0,0,0,598,578,582,0,0,0,0,0
1448859423948835369,9954,1448859423948440090,,0,0,0,40,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859423963835212,9955,1448859423963442141,,0,0,0,38,1048575,0,0,0,0,0,0,0,0,597,577,580,0,0,0,0,0
1448859423978809418,9956,1448859423978419387,,0,0,0,37,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859423993799575,9957,1448859423993403891,,0,0,0,36,1048575,0,0,0,0,0,0,0,0,598,578,581,0,0,0,0,0
1448859424008710808,9958,1448859424008325147,,0,0,0,35,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859424023756334,9959,1448859424023361772,,0,0,0,33,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859424038665438,9960,1448859424038277425,,0,0,0,32,1048575,0,0,0,0,0,0,0,0,594,576,579,0,0,0,0,0
1448859424053739570,9961,1448859424053346630,,0,0,0,31,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859424068682317,9962,1448859424068295400,,0,0,0,30,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859424083520951,9963,1448859424083217586,,0,0,0,29,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859424098646515,9964,1448859424098258088,,0,0,0,27,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859424113697522,9965,1448859424113307695,,0,0,0,26,1048575,0,0,0,0,0,0,0,0,597,576,581,0,0,0,0,0
1448859424128633557,9966,1448859424128247532,,0,0,0,25,1048575,0,0,0,0,0,0,0,0,599,578,583,0,0,0,0,0
1448859424143669154,9967,1448859424143280223,,0,0,0,24,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859424158585765,9968,1448859424158212012,,0,0,0,22,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
