%time,field.header.seq,field.header.stamp,field.header.frame_id,field.poses0.name,field.poses0.position.x,field.poses0.position.y,field.poses0.position.z,field.poses0.orientation.x,field.poses0.orientation.y,field.poses0.orientation.z,field.poses0.orientation.w,field.poses0.pose_updated,field.poses1.name,field.poses1.position.x,field.poses1.position.y,field.poses1.position.z,field.poses1.orientation.x,field.poses1.orientation.y,field.poses1.orientation.z,field.poses1.orientation.w,field.poses1.pose_updated,field.poses2.name,field.poses2.position.x,field.poses2.position.y,field.poses2.position.z,field.poses2.orientation.x,field.poses2.orientation.y,field.poses2.orientation.z,field.poses2.orientation.w,field.poses2.pose_updated
1448859421810491750,25260,1448859421810096386,,sensor,-0.879747039795,0.0120469966531,0.212368663788,0.000377949820232,-0.00841446188099,0.0068569551688,0.999941016336,1,emitter,0.859707955637,0.164166791375,0.191448916974,0.0027484882106,-0.0438902576794,0.428509029216,0.902466676933,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421819269132,25261,1448859421818861863,,sensor,-0.879692321777,0.0121752482653,0.212469650269,5.58450746904e-05,-0.00718244928776,0.00728852964422,0.999947641949,1,emitter,0.859858218527,0.164435485715,0.191448983378,0.0031109935481,-0.0424083074013,0.425457980578,0.903978630248,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421829561316,25262,1448859421829174669,,sensor,-0.879551971436,0.0121487745047,0.21232333374,-0.000226832220997,-0.00700147766796,0.00727398490935,0.9999490072,1,emitter,0.859584820635,0.16425159989,0.19167365429,0.0081374273397,-0.0453860735603,0.429445379043,0.901914936688,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421839419987,25263,1448859421839016285,,sensor,-0.879663543701,0.0120332036018,0.21234066391,0.000843777768177,-0.00880195544375,0.00749356690264,0.999932827781,1,emitter,0.859643216641,0.164440377802,0.191154231079,0.0107512298391,-0.0423489587639,0.424938934623,0.90416695283,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421849441640,25264,1448859421849040080,,sensor,-0.879593734741,0.0120610803366,0.212147914886,0.0003211976785,-0.00639350714782,0.00736461947233,0.999952390006,1,emitter,0.859474793361,0.164356840805,0.191411327852,0.00315730459807,-0.0432056691476,0.425253794264,0.904036786887,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421859256489,25265,1448859421858863244,,sensor,-0.879611419678,0.0121577248573,0.21232768631,-0.000164130749389,-0.00712277712301,0.00712062243984,0.999949266635,1,emitter,0.859637581104,0.164618897443,0.191485524639,0.00248290177277,-0.041070206414,0.422516214524,0.905420963866,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421869467889,25266,1448859421869062597,,sensor,-0.879711410522,0.0120637380481,0.212451423645,-2.66361935389e-05,-0.00884908234141,0.00712698326406,0.999935447487,1,emitter,0.859248340663,0.164771150626,0.191437690163,0.0131132124099,-0.0414797048618,0.421180175005,0.905933075855,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421879355860,25267,1448859421879010096,,sensor,-0.879750869751,0.0120741543174,0.212473716736,-0.000138574237784,-0.00862646349526,0.00692483355117,0.99993880393,1,emitter,0.859352012426,0.164715830482,0.191318334524,0.0117981475988,-0.0412907766663,0.422205915712,0.905482214189,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421889338655,25268,1448859421888956208,,sensor,-0.879627990723,0.0121440627575,0.212344707489,-0.000284993996494,-0.00681863856489,0.00701594008543,0.999952099618,1,emitter,0.859389715072,0.164143914471,0.19113729117,0.0113033337086,-0.0424233935026,0.42697707212,0.90319603089,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421899460833,25269,1448859421899067044,,sensor,-0.879798675537,0.0120699721575,0.212518657684,-0.000294949009922,-0.00867208507015,0.00663514953144,0.999940339588,1,emitter,0.860039822138,0.164553597397,0.191388371696,-0.00113524001469,-0.0402143401721,0.426100962197,0.903780663706,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421909506441,25270,1448859421909113741,,sensor,-0.879670654297,0.0120177167058,0.212304409027,0.000861979373107,-0.00840512577234,0.00744118752444,0.999936617782,1,emitter,0.860101734723,0.164697777473,0.191611137331,0.00318896133208,-0.0407174472093,0.424322656897,0.904589521751,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421919439180,25271,1448859421919044225,,sensor,-0.879559173584,0.0121648226976,0.212303630829,-0.000327904985517,-0.00683676435734,0.00698163669705,0.999952202798,1,emitter,0.860356795658,0.164896271871,0.191731367958,0.0071512112105,-0.0437932239423,0.425095774468,0.904060062299,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421929503948,25272,1448859421929108207,,sensor,-0.879568252563,0.0121100355387,0.212212932587,0.000407163630629,-0.00674997970775,0.00714590181202,0.999951602868,1,emitter,0.860392508499,0.16399426582,0.191565116277,-0.000663469849372,-0.0384472736951,0.433562779471,0.90030255093,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421939347718,25273,1448859421938951377,,sensor,-0.879684020996,0.0122170761824,0.212327033997,-0.00059691311818,-0.00677031361801,0.00684075645082,0.999953504219,1,emitter,0.859649545171,0.164509606811,0.191055338739,0.00443021433522,-0.0387181454694,0.424755173106,0.904469082574,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421949531132,25274,1448859421949136875,,sensor,-0.879638809204,0.0121805186272,0.212291858673,-0.00040040278225,-0.00710660640637,0.00704551846575,0.999949846989,1,emitter,0.859919313744,0.164506827281,0.191481267219,0.00562717428674,-0.0442620018626,0.425456635397,0.903878233778,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421959436144,25275,1448859421959055231,,sensor,-0.879321350098,0.0119613598585,0.212064842224,-0.00228077849063,-0.00720403255006,0.00466131483793,0.999960585277,1,emitter,0.859360537299,0.164772569642,0.191737195749,0.00521073678947,-0.0405151648598,0.422038645291,0.905657082741,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
